vserver,status,OS,DB,cluster,vhost,DataCenter,vcpu,memory,disk-size,organization,service-id,service-name
sysa33609,運用中,CentOS 4 (64),-,TKY4F-C8A,awsef000143,東京,4,24,1955,ＩＴシステム本部,SYS1200,サービス699
sysa33624,運用中,CentOS 4 (64),-,TKY4F-C19B,awsef100286,東京,4,24,240,ＩＴシステム本部,SYS1200,サービス700
sysa33625,運用中,CentOS 4 (64),-,TKY4F-C19A,awsef000419,東京,4,24,240,ＩＴシステム本部,SYS1200,サービス701
sysa33626,ＳＥ構築中,CentOS 4 (64),-,TKY4F-C8B,awsef000150,東京,4,24,140,ＩＴシステム本部,SYS1200,サービス702
sysa33627,運用中,CentOS 4 (64),-,TKY4F-C8A,awsef000143,東京,4,24,100,ＩＴシステム本部,SYS1200,サービス703
sysa33628,運用中,CentOS 4 (64),-,TKY4F-C8B,awsef000150,東京,4,24,100,ＩＴシステム本部,SYS1200,サービス704
sysa33629,運用中,Linux V6 (SL),-,vmcloud009,awsef000311,東京,1,2,40,システム基盤本部,STD1086,サービス705
sysa33630,運用中,Linux V6 (SL),-,vmcloud010,awsef000308,東京,1,2,40,システム基盤本部,STD1086,サービス706
sysa33631,運用中,Linux V6 (SL),MySQL,TKY4F-C12A,awsef000243,東京,4,24,430,バリューサービス事業部,BSD1555,サービス707
sysa33632,運用中,Linux V6 (SL),MySQL,TKY4F-C21B,awseb409120,東京,4,24,100,バリューサービス事業部,BSD1555,サービス708
sysa33659,運用中,Linux V6 (RHEL),-,TKY4F-C9A,awsef000177,東京,2,4,80,法人サービス事業部,BSD1787,サービス709
sysa33660,運用中,Linux V6 (RHEL),-,TKY4F-C9B,awsef100186,東京,2,4,80,法人サービス事業部,BSD1787,サービス710
sysa33661,運用中,Linux V6 (RHEL),-,TKY4F-C9A,awsef100185,東京,2,4,80,法人サービス事業部,BSD1787,サービス711
sysa33662,運用中,Linux V6 (RHEL),-,TKY4F-C9B,awsef000180,東京,2,4,80,法人サービス事業部,BSD1787,サービス712
sysa33663,運用中,Linux V6 (RHEL),-,TKY4F-C9A,awsef000405,東京,2,4,80,法人サービス事業部,BSD1787,サービス713
sysa33664,運用中,Linux V6 (RHEL),-,TKY4F-C9B,awsef000410,東京,2,4,80,法人サービス事業部,BSD1787,サービス714
sysa33665,運用中,Linux V6 (SL),MySQL,TKY4F-C26A,awseb000759,東京,2,8,210,法人サービス事業部,BSD1787,サービス715
sysa33666,運用中,Linux V6 (SL),MySQL,TKY4F-C26B,awseb000760,東京,2,8,210,法人サービス事業部,BSD1787,サービス716
sysa33667,運用中,Linux V6 (RHEL),-,TKY4F-C9A,awsef000405,東京,1,2,80,法人サービス事業部,BSD1787,サービス717
sysa33668,運用中,Linux V6 (SL),MySQL,vmcloud010,awsef000424,東京,1,2,70,法人サービス事業部,BSD1787,サービス718
sysa33699,運用中,Linux V6 (SL),-,vmcloud009,awsef000427,東京,1,2,50,ＩＴシステム本部,BSD1772,サービス719
sysa33700,運用中,Linux V6 (SL),-,vmcloud010,awsef000424,東京,1,2,50,ＩＴシステム本部,BSD1772,サービス720
sysa33701,運用中,Linux V6 (SL),-,TKY4F-C9A,awsef000409,東京,1,2,70,法人サービス事業部,BSD1793,サービス721
sysa33702,運用中,Linux V6 (SL),-,TKY4F-C9B,awsef100184,東京,1,2,70,法人サービス事業部,BSD1793,サービス722
sysa33703,運用中,Linux V6 (SL),MySQL,TKY4F-C26A,awseb000761,東京,1,2,70,法人サービス事業部,BSD1793,サービス723
sysa33704,運用中,Linux V6 (SL),MySQL,TKY4F-C26B,awseb000762,東京,1,2,70,法人サービス事業部,BSD1793,サービス724
sysa33815,運用中,Linux V6 (SL),-,vmcloud009,awsef000301,東京,1,2,40,システム基盤本部,STD1086,サービス725
sysa33816,運用中,Linux V6 (SL),-,vmcloud010,awsef000304,東京,1,2,40,システム基盤本部,STD1086,サービス726
sysa33848,運用中,Linux V6 (SL),-,TKY4F-C9B,awsef100188,東京,2,4,70,法人サービス事業部,BSD1177,サービス727
sysa33849,運用中,Linux V6 (SL),-,TKY4F-C9A,awsef000411,東京,2,4,70,法人サービス事業部,BSD1177,サービス728
sysa33851,ＳＥ構築中,Windows 2008 Server,-,TKY1F-C5A,awsdk560565,大阪,2,8,100,システム基盤本部,SYS1099,サービス729
sysa33852,運用中,Linux V6 (SL),-,TKY4F-C18B,awsef000432,東京,1,2,50,システム基盤本部,SYS0125,サービス730
sysa33853,運用中,Linux V6 (SL),-,TKY4F-C18A,awsef100153,東京,1,2,50,システム基盤本部,SYS0125,サービス731
sysa33854,運用中,Linux V6 (SL),MySQL,TKY4F-C18B,awsef100156,東京,2,4,300,システム基盤本部,SYS0125,サービス732
sysa33855,運用中,Linux V6 (SL),MySQL,TKY4F-C18A,awsef100157,東京,2,4,300,システム基盤本部,SYS0125,サービス733
sysa33858,運用中,Linux V6 (SL),MySQL,TKY4F-C18B,awsef000432,東京,1,4,400,システム基盤本部,SYS0125,サービス734
sysa33859,運用中,Linux V6 (SL),MySQL,TKY4F-C18A,awsef100153,東京,1,4,400,システム基盤本部,SYS0125,サービス735
sysa33860,運用中,Linux V6 (SL),-,vmcloud504,awsef000190,東京,1,2,50,システム基盤本部,SYS0125,サービス736
sysa33861,運用中,Linux V6 (SL),-,vmcloud503,awsef000171,東京,1,2,50,システム基盤本部,SYS0125,サービス737
sysa33862,運用中,Linux V6 (SL),MySQL,vmcloud504,awsef000130,東京,2,4,300,システム基盤本部,SYS0125,サービス738
sysa33863,運用中,Linux V6 (SL),MySQL,vmcloud503,awsef000413,東京,2,4,300,システム基盤本部,SYS0125,サービス739
sysa33864,運用中,Linux V6 (SL),MySQL,vmcloud504,awsef000258,東京,1,4,300,システム基盤本部,SYS0125,サービス740
sysa33865,運用中,Linux V6 (SL),MySQL,vmcloud503,awsef100139,東京,1,4,300,システム基盤本部,SYS0125,サービス741
sysa33882,運用中,Linux V6 (SL),-,TKY4F-C9B,awsef000408,東京,2,4,70,法人サービス事業部,BSD1177,サービス742
sysa33894,ＳＥ構築中,Windows 2008 Server,-,TKY4F-C11B,awsef100162,東京,4,8,400,カスタマサービス本部,BSD1631,サービス743
sysa33901,運用中,Linux V6 (SL),-,vmcloud009,awsef000299,東京,1,2,40,システム基盤本部,STD1086,サービス744
sysa33902,運用中,Linux V6 (SL),-,vmcloud010,awsef000396,東京,1,2,40,システム基盤本部,STD1086,サービス745
sysa33903,運用中,Linux V6 (SL),-,vmcloud009,awsef000395,東京,2,2,70,ＩＴシステム本部,BSD1647,サービス746
sysa33904,運用中,Linux V6 (SL),-,vmcloud010,awsef000312,東京,2,2,70,ＩＴシステム本部,BSD1647,サービス747
sysa33905,運用中,Linux V6 (SL),-,vmcloud009,awsef000423,東京,2,2,70,ＩＴシステム本部,BSD1647,サービス748
sysa33906,運用中,Linux V6 (SL),-,vmcloud010,awsef000310,東京,2,2,70,ＩＴシステム本部,BSD1647,サービス749
sysa33907,運用中,Linux V6 (SL),MySQL,TKY4F-C26A,awseb000759,東京,1,2,70,ＩＴシステム本部,BSD1326,サービス750
sysa33908,運用中,Linux V6 (SL),MySQL,TKY4F-C26B,awseb000760,東京,1,2,70,ＩＴシステム本部,BSD1326,サービス751
sysa33909,運用中,Linux V6 (SL),MySQL,vmcloud503,awsef000191,東京,1,2,70,ＩＴシステム本部,BSD1326,サービス752
sysa33910,運用中,Linux V6 (SL),MySQL,vmcloud504,awsef000414,東京,1,2,70,ＩＴシステム本部,BSD1326,サービス753
sysa33911,運用中,Linux V6 (SL),-,vmcloud503,awsef100139,東京,4,8,100,ＩＴシステム本部,SYS0116,サービス754
sysa33912,運用中,Linux V6 (SL),-,vmcloud504,awsef000128,東京,4,8,100,ＩＴシステム本部,SYS0116,サービス755
sysa33913,運用中,Linux V6 (SL),-,vmcloud503,awsef000413,東京,4,8,100,ＩＴシステム本部,SYS0116,サービス756
sysa33914,運用中,Linux V6 (SL),-,vmcloud504,awsef000130,東京,4,8,100,ＩＴシステム本部,SYS0116,サービス757
sysa33917,ＳＥ構築中,Windows 2008 Server,-,TKY1F-C5A,awsdk560563,大阪,2,4,80,システム基盤本部,SYS1197,サービス758
sysa33918,ＳＥ構築中,Windows 2008 Server,-,TKY1F-C5B,awsdk560562,大阪,2,4,80,システム基盤本部,SYS1197,サービス759
sysa33921,運用中,Windows 2008 Server,-,TKY4F-C11A,awsef100161,東京,4,8,200,ＩＴシステム本部,BSD1526,サービス760
sysa33922,運用中,Windows 2008 Server,-,TKY4F-C11B,awsef000266,東京,4,8,200,ＩＴシステム本部,BSD1526,サービス761
sysa33923,運用中,Windows 2008 Server,-,TKY4F-C11A,awsef100161,東京,4,8,570,カスタマサービス本部,BSD3018,サービス762
sysa33924,運用中,Windows 2008 Server,-,TKY4F-C11B,awsef000268,東京,4,8,570,カスタマサービス本部,BSD3018,サービス763
sysa33925,運用中,Windows 2008 Server,-,TKY4F-C11A,awsef000267,東京,4,8,200,ＩＴシステム本部,BSD1526,サービス764
sysa33926,運用中,Windows 2008 Server,-,TKY4F-C11B,awsef000268,東京,4,8,200,ＩＴシステム本部,BSD1526,サービス765
sysa33935,運用中,Linux V6 (SL),-,vmcloud009,awsef000297,東京,1,2,40,システム基盤本部,STD1086,サービス766
sysa33936,運用中,Linux V6 (SL),-,vmcloud010,awsef000310,東京,1,2,40,システム基盤本部,STD1086,サービス767
sysa33939,ＳＥ構築中,Windows 2008 Server,-,TKY4F-C11A,awsef100161,東京,2,4,80,システム基盤本部,SYS1197,サービス768
sysa33940,ＳＥ構築中,Windows 2008 Server,-,TKY4F-C11B,awsef100162,東京,2,4,200,システム基盤本部,SYS1197,サービス769
sysa33941,運用中,Windows 2008 Server,-,TKY4F-C11A,awsef000267,東京,2,4,200,システム基盤本部,SYS1197,サービス770
sysa33942,運用中,Windows 2008 Server,-,TKY4F-C11B,awsef000266,東京,2,4,80,システム基盤本部,SYS1197,サービス771
sysa33943,ＳＥ構築中,RedHat EL5 ES (64),Oracle,TKY4F-B5A,awsds410137,東京,2,8,60,システム基盤本部,SYS0253,サービス772
sysa33944,ＳＥ構築中,RedHat EL5 ES (64),Oracle,TKY4F-B5B,awsds410138,東京,2,8,60,システム基盤本部,SYS0253,サービス773
sysa33946,運用中,RedHat EL5 ES (64),Oracle,TKY4F-B3A,awsds410126,東京,2,4,0,法人サービス事業部,BSD1362,サービス774
sysa33947,運用中,RedHat EL5 ES (64),Oracle,TKY4F-B3A,awsds410125,東京,2,4,0,法人サービス事業部,BSD1362,サービス775
sysa33970,ＳＥ構築中,Linux V6 (SL),-,TKY4F-C8B,awsef000222,東京,4,24,510,ＩＴシステム本部,SYS1200,サービス776
sysa33971,ＳＥ構築中,Linux V6 (SL),-,TKY4F-C8A,awsef100117,東京,4,24,485,ＩＴシステム本部,SYS1200,サービス777
sysa33972,運用中,Linux V6 (SL),-,vmcloud010,awsef000300,東京,2,4,80,ＩＴシステム本部,BSD1647,サービス778
sysa33973,運用中,Linux V6 (SL),-,vmcloud009,awsef000305,東京,2,4,80,ＩＴシステム本部,BSD1647,サービス779
sysa33974,運用中,Linux V6 (SL),-,vmcloud010,awsef000398,東京,1,2,80,ＩＴシステム本部,BSD1647,サービス780
sysa33975,運用中,Linux V6 (SL),-,vmcloud009,awsef000427,東京,1,2,80,ＩＴシステム本部,BSD1647,サービス781
sysa33976,運用中,Linux V6 (RHEL),-,TKY4F-C9B,awsef100186,東京,2,4,70,法人サービス事業部,BSD1799,サービス782
sysa33979,運用中,Linux V6 (SL),-,vmcloud003,awsdk510451,大阪,3,4,50,システム基盤本部,SYS1025,サービス783
sysa33980,運用中,Linux V6 (SL),-,vmcloud004,awsdk510484,大阪,3,4,50,システム基盤本部,SYS1025,サービス784
sysa33981,運用中,Linux V6 (SL),-,vmcloud003,awsdk510487,大阪,3,4,50,システム基盤本部,SYS1025,サービス785
sysa33982,運用中,Linux V6 (SL),-,vmcloud004,awsdk510450,大阪,3,4,50,システム基盤本部,SYS1025,サービス786
sysa33983,運用中,Linux V6 (SL),-,vmcloud003,awsdk510449,大阪,3,4,50,システム基盤本部,SYS1025,サービス787
sysa33984,運用中,Linux V6 (SL),-,vmcloud004,awsdk510494,大阪,3,4,50,システム基盤本部,SYS1025,サービス788
sysa33985,運用中,Linux V6 (SL),-,vmcloud003,awsdk510451,大阪,3,4,50,システム基盤本部,SYS1025,サービス789
sysa33986,運用中,Linux V6 (SL),-,vmcloud004,awsdk510484,大阪,3,4,50,システム基盤本部,SYS1025,サービス790
sysa33989,運用中,Linux V6 (RHEL),-,TKY4F-C9A,awsef000177,東京,2,4,70,法人サービス事業部,BSD1799,サービス791
sysa33990,運用中,Linux V6 (RHEL),-,TKY4F-C9B,awsef100184,東京,2,4,70,法人サービス事業部,BSD1799,サービス792
sysa33993,運用中,Linux V6 (SL),-,TKY4F-C9A,awsef000409,東京,1,2,70,法人サービス事業部,BSD1218,サービス793
sysa33994,運用中,Linux V6 (SL),-,TKY4F-C9B,awsef000406,東京,1,2,70,法人サービス事業部,BSD1218,サービス794
sysa33995,運用中,Linux V6 (SL),MySQL,TKY4F-C26A,awseb000759,東京,1,2,70,法人サービス事業部,BSD1218,サービス795
sysa33996,運用中,Linux V6 (SL),MySQL,TKY4F-C26B,awseb000760,東京,1,2,70,法人サービス事業部,BSD1218,サービス796
sysa33997,運用中,Linux V6 (RHEL),-,TKY4F-B5A,awsds410101,東京,6,12,710,ＩＴシステム本部,BSD1772,サービス797
sysa33998,運用中,Linux V6 (RHEL),-,TKY4F-B5B,awsds410102,東京,6,12,710,ＩＴシステム本部,BSD1772,サービス798
sysa33999,運用中,RedHat EL5 ES (64),Oracle,TKY4F-B5A,awsds410137,東京,8,32,200,ＩＴシステム本部,BSD1772,サービス799
sysa34000,運用中,RedHat EL5 ES (64),Oracle,TKY4F-B5B,awsds410138,東京,8,32,200,ＩＴシステム本部,BSD1772,サービス800
sysa34013,運用中,RedHat EL5 ES (64),Oracle,TKY4F-B3A,awsds410121,東京,2,8,0,法人サービス事業部,BSD1169,サービス801
sysa34014,運用中,RedHat EL5 ES (64),Oracle,TKY4F-B3A,awsds410122,東京,2,8,0,法人サービス事業部,BSD1169,サービス802
sysa34015,運用中,Linux V6 (SL),-,TKY4F-C13A,awsef000403,東京,2,4,130,システム基盤本部,BSD1771,サービス803
sysa34016,運用中,Linux V6 (SL),-,TKY4F-C13B,awsef000254,東京,2,4,130,システム基盤本部,BSD1771,サービス804
sysa34017,運用中,Linux V6 (SL),-,vmcloud1203,vserv600091,大阪,2,4,80,システム基盤本部,BSD1771,サービス805
sysa34018,運用中,Linux V6 (SL),-,vmcloud1204,vserv600088,大阪,2,4,80,システム基盤本部,BSD1771,サービス806
sysa34019,運用中,Linux V6 (SL),MySQL,TKY4F-C13A,awsef000403,東京,1,2,70,システム基盤本部,SYS0125,サービス807
sysa34020,運用中,Linux V6 (SL),MySQL,TKY4F-C13B,awsef000254,東京,1,2,70,システム基盤本部,SYS0125,サービス808
sysa34026,運用中,Linux V6 (SL),-,vmcloud004,awsdk510486,大阪,2,4,40,システム基盤本部,SYS1025,サービス809
sysa34027,運用中,Linux V6 (SL),-,vmcloud003,awsdk510451,大阪,2,4,40,システム基盤本部,SYS1025,サービス810
sysa34028,運用中,Linux V6 (SL),-,vmcloud010,awsef000394,東京,1,2,50,ＩＴシステム本部/事業推進本部,BSD1571/BSD1577,サービス811
sysa34029,運用中,Linux V6 (SL),-,vmcloud009,awsef000395,東京,1,2,50,ＩＴシステム本部/事業推進本部,BSD1571/BSD1577,サービス812
sysa34031,運用中,Linux V6 (SL),-,vmcloud003,awsdk510453,大阪,1,2,40,システム基盤本部,STD1086,サービス813
sysa34032,運用中,Linux V6 (SL),-,vmcloud004,awsdk510486,大阪,1,2,40,システム基盤本部,STD1086,サービス814
sysa34039,運用中,Linux V6 (SL),-,vmcloud009,awsef000423,東京,1,2,50,ＩＴシステム本部/ＩＴシステム本部/法人サービス事業部,BSD0082/BSD1013/BSD1107,サービス815
sysa34040,運用中,Linux V6 (SL),-,vmcloud010,awsef000398,東京,1,2,50,ＩＴシステム本部/ＩＴシステム本部/法人サービス事業部,BSD0082/BSD1013/BSD1107,サービス816
sysa34041,運用中,Linux V6 (SL),-,TKY4F-C18A,awsef000431,東京,2,4,70,システム基盤本部,SYS0125,サービス817
sysa34042,運用中,Linux V6 (SL),-,TKY4F-C18B,awsef100154,東京,2,4,70,システム基盤本部,SYS0125,サービス818
sysa34043,運用中,Linux V6 (SL),-,TKY4F-C18A,awsef100153,東京,2,4,70,システム基盤本部,SYS0125,サービス819
sysa34044,運用中,Linux V6 (SL),-,TKY4F-C18B,awsef000432,東京,2,4,70,システム基盤本部,SYS0125,サービス820
sysa34045,運用中,Linux V6 (SL),-,TKY4F-C18B,awsef100158,東京,2,4,70,システム基盤本部,SYS0125,サービス821
sysa34047,運用中,Linux V6 (SL),MySQL,TKY4F-C18A,awsef000431,東京,1,2,70,システム基盤本部,SYS0125,サービス822
sysa34048,運用中,Linux V6 (SL),MySQL,TKY4F-C18B,awsef100154,東京,1,2,70,システム基盤本部,SYS0125,サービス823
sysa34049,運用中,Linux V6 (SL),MySQL,TKY4F-C18A,awsef000431,東京,1,2,70,システム基盤本部,SYS0125,サービス824
sysa34050,運用中,Linux V6 (SL),MySQL,TKY4F-C18B,awsef100154,東京,1,2,70,システム基盤本部,SYS0125,サービス825
sysa34051,運用中,Linux V6 (SL),MySQL,TKY4F-C18A,awsef100153,東京,1,2,70,システム基盤本部,SYS0125,サービス826
sysa34052,運用中,Linux V6 (SL),MySQL,TKY4F-C18B,awsef000432,東京,1,2,70,システム基盤本部,SYS0125,サービス827
sysa34053,運用中,Linux V6 (SL),MySQL,TKY4F-C18B,awsef100158,東京,1,2,70,システム基盤本部,SYS0125,サービス828
sysa34055,運用中,Linux V6 (SL),-,TKY4F-C18A,awsef000431,東京,2,4,60,システム基盤本部,SYS0125,サービス829
sysa34056,運用中,Linux V6 (SL),-,TKY4F-C18B,awsef100154,東京,2,4,60,システム基盤本部,SYS0125,サービス830
sysa34057,運用中,Linux V6 (SL),-,TKY4F-C18A,awsef100153,東京,2,4,60,システム基盤本部,SYS0125,サービス831
sysa34058,運用中,Linux V6 (SL),-,TKY4F-C18B,awsef000432,東京,2,4,60,システム基盤本部,SYS0125,サービス832
sysa34059,運用中,Linux V6 (SL),-,TKY4F-C18A,awsef100155,東京,2,4,60,システム基盤本部,SYS0125,サービス833
sysa34060,運用中,Linux V6 (SL),-,TKY4F-C18B,awsef100270,東京,2,4,60,システム基盤本部,SYS0125,サービス834
sysa34061,運用中,Linux V6 (SL),MySQL,TKY4F-C18A,awsef000431,東京,2,4,300,システム基盤本部,SYS0125,サービス835
sysa34062,運用中,Linux V6 (SL),MySQL,TKY4F-C18B,awsef100154,東京,2,4,300,システム基盤本部,SYS0125,サービス836
sysa34063,運用中,Linux V6 (SL),MySQL,TKY4F-C18A,awsef100153,東京,2,4,300,システム基盤本部,SYS0125,サービス837
sysa34064,運用中,Linux V6 (SL),MySQL,TKY4F-C18B,awsef000432,東京,2,4,300,システム基盤本部,SYS0125,サービス838
sysa34065,運用中,Linux V6 (SL),MySQL,TKY4F-C18A,awsef100155,東京,2,4,300,システム基盤本部,SYS0125,サービス839
sysa34066,運用中,Linux V6 (SL),MySQL,TKY4F-C18B,awsef100270,東京,2,4,300,システム基盤本部,SYS0125,サービス840
sysa34071,ＳＥ構築中,Linux V6 (RHEL),Oracle,TKY4F-B4A,awsds410153,東京,2,4,0,システム基盤本部,SYS0253,サービス841
sysa34072,ＳＥ構築中,Linux V6 (RHEL),Oracle,TKY4F-B4B,awsds410154,東京,2,4,0,システム基盤本部,SYS0253,サービス842
sysa34076,運用中,RedHat EL5 ES (64),Oracle,TKY4F-B5A,awsds410137,東京,2,32,350,ＩＴシステム本部,BSD1152,サービス843
sysa34077,運用中,RedHat EL5 ES (64),Oracle,TKY4F-B5B,awsds410138,東京,2,32,350,ＩＴシステム本部,BSD1152,サービス844
sysa34078,運用中,Linux V6 (SL),-,TKY4F-C13B,awsef000292,東京,2,4,200,ＩＴシステム本部,BSD1358,サービス845
sysa34079,運用中,Linux V6 (SL),-,TKY4F-C13A,awsef000401,東京,2,4,200,ＩＴシステム本部,BSD1358,サービス846
sysa34080,運用中,Linux V6 (SL),-,TKY4F-C13B,awsef000402,東京,2,4,390,ＩＴシステム本部,BSD1358,サービス847
sysa34081,運用中,Linux V6 (SL),-,TKY4F-C13A,awsef000401,東京,2,4,200,ＩＴシステム本部,BSD1358,サービス848
sysa34082,運用中,Linux V6 (SL),-,TKY4F-C13B,awsef000256,東京,2,4,200,ＩＴシステム本部,BSD1358,サービス849
sysa34083,運用中,Linux V6 (SL),-,TKY4F-C13A,awsef000401,東京,2,4,190,ＩＴシステム本部,BSD1358,サービス850
sysa34084,運用中,Linux V6 (SL),-,TKY4F-C13B,awsef000402,東京,2,4,190,ＩＴシステム本部,BSD1358,サービス851
sysa34085,運用中,Linux V6 (SL),-,TKY4F-C13A,awsef000291,東京,2,4,190,ＩＴシステム本部,BSD1358,サービス852
sysa34086,運用中,Linux V6 (SL),-,TKY4F-C13B,awsef000256,東京,2,4,190,ＩＴシステム本部,BSD1358,サービス853
sysa34087,運用中,Linux V6 (SL),-,TKY4F-C13A,awsef000401,東京,2,4,200,ＩＴシステム本部,BSD1358,サービス854
sysa34088,運用中,Linux V6 (SL),-,TKY4F-C13B,awsef000402,東京,2,4,200,ＩＴシステム本部,BSD1358,サービス855
sysa34089,運用中,Linux V6 (SL),-,TKY4F-C13A,awsef000403,東京,2,4,200,ＩＴシステム本部,BSD1358,サービス856
sysa34090,運用中,Linux V6 (SL),-,TKY4F-C13B,awsef000256,東京,2,4,200,ＩＴシステム本部,BSD1358,サービス857
sysa34091,運用中,Linux V6 (SL),-,TKY4F-C13A,awsef000255,東京,2,2,40,ＩＴシステム本部,BSD0069,サービス858
sysa34092,運用中,Linux V6 (SL),-,TKY4F-C13B,awsef000254,東京,2,2,40,ＩＴシステム本部,BSD0069,サービス859
sysa34093,運用中,Linux V6 (SL),-,vmcloud009,awsef000303,東京,1,2,50,法人サービス事業部,BSD1107,サービス860
sysa34094,運用中,Linux V6 (SL),-,vmcloud010,awsef000398,東京,1,2,50,法人サービス事業部,BSD1107,サービス861
sysa34099,ＳＥ構築中,Linux V6 (SL),-,TKY4F-C13A,awsef000255,東京,1,2,50,ＩＴシステム本部,SYS1027,サービス862
sysa34100,ＳＥ構築中,Linux V6 (SL),-,TKY4F-C13B,awsef000292,東京,1,2,50,ＩＴシステム本部,SYS1027,サービス863
sysa34101,運用中,Linux V6 (SL),-,TKY4F-C9A,awsef000177,東京,1,2,70,法人サービス事業部,BSD1177,サービス864
sysa34102,運用中,Linux V6 (SL),-,TKY4F-C9B,awsef100182,東京,1,2,70,法人サービス事業部,BSD1177,サービス865
sysa34107,運用中,CentOS 4 (64),-,TKY4F-C8A,awsef100117,東京,4,24,1965,ＩＴシステム本部,SYS1200,サービス866
sysa34109,運用中,CentOS 4 (64),-,TKY4F-C8A,awsef000143,東京,4,24,1965,ＩＴシステム本部,SYS1200,サービス867
sysa34110,運用中,CentOS 4 (64),-,TKY4F-C8B,awsef000228,東京,4,24,1965,ＩＴシステム本部,SYS1200,サービス868
sysa34111,運用中,CentOS 4 (64),-,TKY4F-C8A,awsef000227,東京,4,24,1965,ＩＴシステム本部,SYS1200,サービス869
sysa34113,運用中,CentOS 4 (64),-,TKY4F-C8A,awsef000217,東京,4,24,1965,ＩＴシステム本部,SYS1200,サービス870
sysa34114,運用中,CentOS 4 (64),-,TKY4F-C8B,awsef000214,東京,4,24,1965,ＩＴシステム本部,SYS1200,サービス871
sysa34127,運用中,Linux V6 (SL),-,vmcloud009,awsef000299,東京,2,8,90,ＩＴシステム本部,SYS0250,サービス872
sysa34128,運用中,Linux V6 (SL),-,vmcloud010,awsef000298,東京,2,8,90,ＩＴシステム本部,SYS0250,サービス873
sysa34129,運用中,Linux V6 (SL),-,vmcloud009,awsef000305,東京,2,8,120,ＩＴシステム本部,SYS0250,サービス874
sysa34130,運用中,Linux V6 (SL),-,vmcloud010,awsef000396,東京,2,8,130,ＩＴシステム本部,SYS0250,サービス875
sysa34131,運用中,Linux V6 (SL),-,vmcloud009,awsef000307,東京,2,2,60,ＩＴシステム本部,SYS0252,サービス876
sysa34132,運用中,Linux V6 (SL),-,vmcloud010,awsef000394,東京,2,2,60,ＩＴシステム本部,SYS0252,サービス877
sysa34133,運用中,Linux V6 (SL),-,vmcloud009,awsef000305,東京,2,2,60,ＩＴシステム本部,SYS0252,サービス878
sysa34134,運用中,Linux V6 (SL),-,vmcloud004,awsdk510450,大阪,2,2,60,ＩＴシステム本部,SYS0252,サービス879
sysa34135,運用中,Linux V6 (SL),-,vmcloud003,awsdk510493,大阪,2,2,60,ＩＴシステム本部,SYS0252,サービス880
sysa34137,運用中,Linux V6 (SL),-,TKY4F-C9A,awsef000411,東京,1,2,70,法人サービス事業部,BSD1392,サービス881
sysa34138,運用中,Linux V6 (SL),-,TKY4F-C9B,awsef000412,東京,1,2,70,法人サービス事業部,BSD1392,サービス882
sysa34139,運用中,Linux V6 (SL),-,TKY4F-C9A,awsef000409,東京,2,4,70,法人サービス事業部,BSD1818,サービス883
sysa34140,運用中,Linux V6 (SL),-,TKY4F-C9B,awsef000408,東京,2,4,70,法人サービス事業部,BSD1818,サービス884
sysa34141,運用中,Linux V6 (SL),MySQL,TKY4F-C13A,awsef000403,東京,1,2,70,システム基盤本部,SYS1167,サービス885
sysa34142,運用中,Linux V6 (SL),MySQL,TKY4F-C13B,awsef000254,東京,1,2,70,システム基盤本部,SYS1167,サービス886
sysa34145,運用中,RedHat EL5 ES (64),Oracle,TKY4F-B5A,awsds410187,東京,10,72,530,ＩＴシステム本部,BSD1152,サービス887
sysa34146,運用中,RedHat EL5 ES (64),Oracle,TKY4F-B5B,awsds410188,東京,10,72,530,ＩＴシステム本部,BSD1152,サービス888
sysa34149,運用中,Linux V6 (SL),-,TKY4F-C9A,awsef100241,東京,1,2,70,法人サービス事業部,BSD1333,サービス889
sysa34150,運用中,Linux V6 (SL),-,TKY4F-C9B,awsef000178,東京,1,2,70,法人サービス事業部,BSD1333,サービス890
sysa34153,運用中,Linux V6 (SL),-,vmcloud009,awsef000309,東京,1,8,50,ＩＴシステム本部,SYS0242,サービス891
sysa34154,運用中,Linux V6 (SL),-,vmcloud010,awsef000426,東京,1,8,50,ＩＴシステム本部,SYS0242,サービス892
sysa34155,運用中,Linux V6 (SL),-,vmcloud009,awsef000305,東京,1,8,50,ＩＴシステム本部,SYS0242,サービス893
sysa34156,運用中,Linux V6 (SL),-,vmcloud010,awsef000394,東京,1,8,50,ＩＴシステム本部,SYS0242,サービス894
sysa34157,運用中,Linux V6 (SL),-,vmcloud009,awsef000395,東京,1,8,50,ＩＴシステム本部,SYS0242,サービス895
sysa34158,運用中,Linux V6 (SL),-,vmcloud010,awsef000426,東京,1,8,50,ＩＴシステム本部,SYS0242,サービス896
sysa34159,運用中,Linux V6 (SL),-,vmcloud009,awsef000393,東京,1,4,40,ＩＴシステム本部,SYS0242,サービス897
sysa34160,運用中,Linux V6 (SL),-,vmcloud010,awsef000312,東京,1,4,40,ＩＴシステム本部,SYS0242,サービス898
sysa34161,運用中,Linux V6 (SL),-,TKY4F-C9A,awsef000411,東京,1,2,50,法人サービス事業部,BSD1409,サービス899
sysa34162,運用中,Linux V6 (SL),-,TKY4F-C9B,awsef100188,東京,1,2,50,法人サービス事業部,BSD1409,サービス900
sysa34167,運用中,Linux V6 (SL),-,vmcloud009,awsef000425,東京,2,2,80,ＩＴシステム本部,SYS0252,サービス901
